entity,entity_id,question,question_id,answer_list,flag,prompt,prompt_id
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Japan,47
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Colombia,46
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Indonesia,45
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Turkey,44
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Nigeria,43
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in United Kingdom,42
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Spain,124
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Italy,125
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Egypt,126
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Philippines,127
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in India,48
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in United States of America,132
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in China,131
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in South Korea,130
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in United Arab Emirates,129
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']",F,A photo of a backyard in Mexico,128
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Japan,47
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Colombia,46
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Indonesia,45
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Turkey,44
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Nigeria,43
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in United Kingdom,42
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Spain,124
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Italy,125
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Egypt,126
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Philippines,127
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in India,48
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in United States of America,132
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in China,131
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in South Korea,130
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in United Arab Emirates,129
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']",F,A photo of a backyard in Mexico,128
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Japan,47
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Colombia,46
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Indonesia,45
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Turkey,44
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Nigeria,43
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in United Kingdom,42
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Spain,124
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Italy,125
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Egypt,126
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Philippines,127
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in India,48
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in United States of America,132
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in China,131
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in South Korea,130
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in United Arab Emirates,129
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']",F,A photo of a backyard in Mexico,128
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in Japan,47
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in Colombia,46
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in Indonesia,45
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in Turkey,44
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in Nigeria,43
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in United Kingdom,42
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in Spain,124
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in Italy,125
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in Egypt,126
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in Philippines,127
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']",F,A photo of a backyard in India,48
