entity,entity_id,question,question_id,answer_list,flag,prompt,prompt_id
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Japan,47
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Colombia,46
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Indonesia,45
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Turkey,44
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Nigeria,43
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in United Kingdom,42
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Spain,124
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Italy,125
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Egypt,126
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Philippines,127
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in India,48
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in United States of America,132
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in China,131
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in South Korea,130
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in United Arab Emirates,129
a backyard,24,Is the primary ground cover of the backyard visible or identifiable in the image?,52g,"['yes','no']",NF,A photo of a backyard in Mexico,128
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in United Kingdom,0
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Nigeria,1
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Turkey,2
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Indonesia,3
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Colombia,4
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Japan,5
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in India,6
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in United States of America,78
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Egypt,72
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Philippines,73
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Mexico,74
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in United Arab Emirates,75
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in South Korea,76
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in China,77
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Italy,71
a bag,0,Is the bag's closure type visible or identifiable in the image?,7g,"['yes','no']",NF,A photo of a bag in Spain,70
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in United Kingdom,0
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Nigeria,1
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Turkey,2
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Indonesia,3
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Colombia,4
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Japan,5
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in India,6
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in United States of America,78
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Egypt,72
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Philippines,73
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Mexico,74
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in United Arab Emirates,75
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in South Korea,76
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in China,77
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Italy,71
a bag,0,Is the type of the bag visible or detectable in the image?,0g,"['yes','no']",NF,A photo of a bag in Spain,70
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in United Kingdom,0
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in Nigeria,1
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in Turkey,2
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in Indonesia,3
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in Colombia,4
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in Japan,5
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in India,6
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in United States of America,78
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in Egypt,72
a bag,0,Is the way the bag is being held or placed visible or detectable in the image?,8q,"['yes','no']",NF,A photo of a bag in Philippines,73
