prompt_id,prompt,entity,entity_id,region,question,answer_list,question_id
0,A photo of a bag in United Kingdom,a bag,0,United Kingdom,Is there any visible background in the image apart from the object?,"['yes','no']",s1
1,A photo of a bag in Nigeria,a bag,0,Nigeria,Is there any visible background in the image apart from the object?,"['yes','no']",s1
2,A photo of a bag in Turkey,a bag,0,Turkey,Is there any visible background in the image apart from the object?,"['yes','no']",s1
3,A photo of a bag in Indonesia,a bag,0,Indonesia,Is there any visible background in the image apart from the object?,"['yes','no']",s1
4,A photo of a bag in Colombia,a bag,0,Colombia,Is there any visible background in the image apart from the object?,"['yes','no']",s1
5,A photo of a bag in Japan,a bag,0,Japan,Is there any visible background in the image apart from the object?,"['yes','no']",s1
6,A photo of a bag in India,a bag,0,India,Is there any visible background in the image apart from the object?,"['yes','no']",s1
78,A photo of a bag in United States of America,a bag,0,United States of America,Is there any visible background in the image apart from the object?,"['yes','no']",s1
72,A photo of a bag in Egypt,a bag,0,Egypt,Is there any visible background in the image apart from the object?,"['yes','no']",s1
73,A photo of a bag in Philippines,a bag,0,Philippines,Is there any visible background in the image apart from the object?,"['yes','no']",s1
74,A photo of a bag in Mexico,a bag,0,Mexico,Is there any visible background in the image apart from the object?,"['yes','no']",s1
75,A photo of a bag in United Arab Emirates,a bag,0,United Arab Emirates,Is there any visible background in the image apart from the object?,"['yes','no']",s1
76,A photo of a bag in South Korea,a bag,0,South Korea,Is there any visible background in the image apart from the object?,"['yes','no']",s1
77,A photo of a bag in China,a bag,0,China,Is there any visible background in the image apart from the object?,"['yes','no']",s1
71,A photo of a bag in Italy,a bag,0,Italy,Is there any visible background in the image apart from the object?,"['yes','no']",s1
70,A photo of a bag in Spain,a bag,0,Spain,Is there any visible background in the image apart from the object?,"['yes','no']",s1
80,A photo of a chair in Italy,a chair,6,Italy,Is there any visible background in the image apart from the object?,"['yes','no']",s1
81,A photo of a chair in Egypt,a chair,6,Egypt,Is there any visible background in the image apart from the object?,"['yes','no']",s1
82,A photo of a chair in Philippines,a chair,6,Philippines,Is there any visible background in the image apart from the object?,"['yes','no']",s1
83,A photo of a chair in Mexico,a chair,6,Mexico,Is there any visible background in the image apart from the object?,"['yes','no']",s1
84,A photo of a chair in United Arab Emirates,a chair,6,United Arab Emirates,Is there any visible background in the image apart from the object?,"['yes','no']",s1
85,A photo of a chair in South Korea,a chair,6,South Korea,Is there any visible background in the image apart from the object?,"['yes','no']",s1
79,A photo of a chair in Spain,a chair,6,Spain,Is there any visible background in the image apart from the object?,"['yes','no']",s1
7,A photo of a chair in United Kingdom,a chair,6,United Kingdom,Is there any visible background in the image apart from the object?,"['yes','no']",s1
8,A photo of a chair in Nigeria,a chair,6,Nigeria,Is there any visible background in the image apart from the object?,"['yes','no']",s1
9,A photo of a chair in Turkey,a chair,6,Turkey,Is there any visible background in the image apart from the object?,"['yes','no']",s1
10,A photo of a chair in Indonesia,a chair,6,Indonesia,Is there any visible background in the image apart from the object?,"['yes','no']",s1
11,A photo of a chair in Colombia,a chair,6,Colombia,Is there any visible background in the image apart from the object?,"['yes','no']",s1
12,A photo of a chair in Japan,a chair,6,Japan,Is there any visible background in the image apart from the object?,"['yes','no']",s1
13,A photo of a chair in India,a chair,6,India,Is there any visible background in the image apart from the object?,"['yes','no']",s1
87,A photo of a chair in United States of America,a chair,6,United States of America,Is there any visible background in the image apart from the object?,"['yes','no']",s1
