entity,entity_id,question,question_id,answer_list
a backyard,24,Are there any animals or pets in the backyard?,62o,"['yes', 'no']"
a backyard,24,Are there any distinct pathways or walkways visible in the backyard?,61q,"['yes', 'no']"
a backyard,24,"Are there any plants, trees, or shrubs in the backyard?",57o,"['yes', 'no']"
a backyard,24,"Are there any structures (e.g., a shed, playhouse) in the backyard?",58q,"['yes', 'no']"
a backyard,24,"Are there any visible recreational items (e.g., a swing set, trampoline, basketball hoop) in the backyard?",59l,"['yes', 'no']"
a backyard,24,"Is a body of water (e.g., a pool, pond, or fountain) visible in the backyard?",58l,"['yes', 'no']"
a backyard,24,Is the backyard enclosed by a fence or wall?,53g,"['yes', 'no']"
a backyard,24,Is there a garden or vegetable patch in the backyard?,61o,"['yes', 'no']"
a backyard,24,Is there a patio or deck attached to the house in the backyard?,59g,"['yes', 'no']"
a backyard,24,Is there a visible grill or outdoor kitchen area in the backyard?,62m,"['yes', 'no']"
a backyard,24,"Is there any outdoor furniture (e.g., a table, chairs) in the backyard?",54g,"['yes', 'no']"
a backyard,24,"What is the primary ground cover in the backyard: grass, paving (concrete/tiles/stone), or dirt/gravel?",52g,"['grass', 'paving', 'dirt/gravel']"
a bag,0,"Does the bag have a zipper, buckle, or flap closure?",7g,"['zipper', 'buckle', 'flap']"
a bag,0,Does the bag have any visible external pockets or compartments?,5l,"['yes', 'no']"
a bag,0,"Does the bag have handles, a shoulder strap, or both?",3g,"['handles', 'both', 'shoulder strap']"
a bag,0,Is a brand logo or label visible on the bag?,5o,"['yes', 'no']"
a bag,0,"Is the bag a backpack, handbag, or tote bag?",0g,"['backpack', 'tote bag', 'handbag']"
a bag,0,"Is the bag being carried by a person, placed on a surface, or hanging?",8q,"['carried by a person', 'placed on a surface', 'hanging']"
a bag,0,"Is the bag made of fabric, leather, or plastic?",2g,"['plastic', 'fabric', 'leather']"
a bag,0,"Is the bag’s overall shape best described as rectangular, circular, trapezoidal, or non-geometric/unstructured?",5g,"['circular', 'unstructured', 'rectangular', 'trapezoidal']"
a bag,0,Is the bag's surface a solid color or patterned?,6g,"['solid color', 'patterned']"
a bag,0,What is the main color of the bag?,1g,"['white', 'black', 'purple', 'blue', 'green', 'orange', 'red', 'yellow', 'brown', 'pink', 'gray']"
a car,27,Are any wheels visible on the car?,66l,"['yes', 'no']"
a car,27,Are the car’s lights turned on or off?,68q,"['on', 'off']"
a car,27,Are there any logos or brand badges on the car?,70q,"['yes', 'no']"
a car,27,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?",66q,"['yes', 'no']"
a car,27,Is the car a convertible or does it have a fixed roof?,67l,"['convertible', 'fixed roof']"
a car,27,Is the car a sedan or SUV?,61g,"['sedan', 'suv']"
a car,27,Is the car moving or stationary?,63g,"['stationary', 'moving']"
a car,27,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,65g,"['unpaved surface', 'paved surface']"
a car,27,"Is the car viewed from the front, side, or rear?",68g,"['front', 'rear', 'side']"
a car,27,Is there a license plate on the car?,70o,"['yes', 'no']"
a car,27,What is the primary color of the car?,62g,"['white', 'black', 'blue', 'orange', 'brown', 'red', 'yellow', 'green', 'beige', 'gray']"
a chair,6,Does the chair have a backrest?,13g,"['yes', 'no']"
a chair,6,Does the chair have armrests?,10g,"['yes', 'no']"
a chair,6,Does the chair have multiple distinct legs or a single central base?,11g,"['multiple distinct legs', 'a single central base']"
a chair,6,Does the chair have wheels?,16g,"['yes', 'no']"
a chair,6,"Is the backrest of the chair solid, slatted, or woven?",14g,"['slatted', 'woven', 'solid']"
a chair,6,Is the chair designed for a single person or multiple people?,15q,"['multiple people', 'single person']"
a chair,6,Is the chair's backrest straight or curved?,11l,"['straight', 'curved']"
a chair,6,Is the chair's seat primarily square or round?,15o,"['round', 'square']"
a chair,6,Is the seat of the chair cushioned or hard?,15g,"['hard', 'cushioned']"
a chair,6,What is the primary color of the chair?,12g,"['white', 'black', 'purple', 'blue', 'orange', 'brown', 'red', 'yellow', 'green', 'gray']"
a chair,6,"What is the primary material of the chair (e.g., wood, metal, plastic, fabric, woven)?",9o,"['stone', 'metal', 'leather', 'wood', 'plastic', 'fabric']"
a cooking pot,13,"Are there any visible markings, patterns, or logos on the cooking pot?",44o,"['yes', 'no']"
a cooking pot,13,Does the pot have a lid on it?,36g,"['yes', 'no']"
a cooking pot,13,Does the pot have a single handle or multiple handles?,37g,"['no handles', 'single handle', 'multiple handles']"
a cooking pot,13,"Is the pot placed on a cooking surface (e.g., stove, burner, or fire)?",40g,"['yes', 'no']"
a cooking pot,13,Is the pot taller than it is wide?,41g,"['yes', 'no']"
a cooking pot,13,Is any food or liquid visible inside the pot?,39g,"['yes', 'no']"
a cooking pot,13,What is the primary color of the cooking pot?,34g,"['blue', 'red', 'copper', 'silver', 'green', 'brown', 'orange', 'white', 'black']"
a cooking pot,13,What material does the pot appear to be made of?,35g,"['copper', 'cast iron', 'stainless steel', 'ceramic', 'enamel']"
a dog,30,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?",74l,"['erect', 'folded (ear starts upright but bends partway)', 'floppy (whole ear droops down)']"
a dog,30,"Are there any objects like toys, a leash, or food near the dog?",79q,"['yes', 'no']"
a dog,30,"Does the dog have short, medium, or long fur?",75q,"['medium', 'long', 'short']"
a dog,30,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?",69g,"['multiple colors/patterns', 'single solid color']"
a dog,30,Is the dog alone or with other animals or people?,80o,"['with other animals', 'alone', 'with people', 'with other animals and people']"
a dog,30,Is the dog in an indoor or outdoor setting?,77g,"['outdoor', 'indoor']"
a dog,30,"Is the dog wearing an accessory (e.g., collar, harness)?",76q,"['yes', 'no']"
a dog,30,Is the dog's mouth open or closed?,74g,"['closed', 'open']"
a dog,30,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?",73q,"['walking', 'eating', 'running', 'playing', 'standing', 'lying down', 'sitting']"
a house,23,Are there any trees visible near the house?,48m,"['yes', 'no']"
a house,23,Do the windows on the house have shutters?,51g,"['yes', 'no']"
a house,23,Does the house have a porch or a balcony?,47g,"['yes', 'no']"
a house,23,Is a door on the house open or closed?,51l,"['closed', 'open']"
a house,23,Is the house single-storey or multi-storey?,44g,"['multi-storey', 'single-storey']"
a house,23,Is the roof of the house flat or sloped?,45g,"['flat', 'sloped']"
a house,23,Is there a chimney on the house?,46g,"['yes', 'no']"
a house,23,Is there a fence on the property?,50g,"['yes', 'no']"
a house,23,"Is there a garage visible, attached to the house?",48g,"['yes', 'no']"
a house,23,What is the main color of the house's exterior?,43g,"['white', 'yellow', 'brown', 'beige', 'gray']"
a house,23,What is the primary exterior material of the house?,46o,"['concrete', 'stone', 'metal', 'wood', 'glass', 'brick']"
a house,23,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?",49o,"['grass', 'paving', 'dirt/gravel']"
a plate of food,10,Are any vegetables visible on the plate?,20g,"['yes', 'no']"
a plate of food,10,"Is there any food item on the plate that visually resembles meat, fish, or eggs?",19g,"['yes', 'no']"
a plate of food,10,Is a sauce or liquid topping visible on the food?,22g,"['yes', 'no']"
a plate of food,10,"Is any cutlery (e.g., fork, knife, spoon) visible next to the plate?",24g,"['yes', 'no']"
a plate of food,10,Is more than half of the plate's surface covered by food?,21l,"['yes', 'no']"
a plate of food,10,"Is the food on the plate solid, liquid, or a mix of both?",20m,"['a mix of both', 'solid', 'liquid']"
a plate of food,10,"Is the food on the plate topped with any garnish, like fresh herbs or seeds?",23g,"['yes', 'no']"
a plate of food,10,Is the plate a single solid color?,18g,"['yes', 'no']"
